HOURLY,HOUR,TEMP,RH,WD,WS,PRECIP
5/10/2001,0,-3.8,61,360,19,0
5/10/2001,1,-4.6,61,360,10,0
5/10/2001,2,-5.3,63,360,17,0
5/10/2001,3,-5.3,61,360,20,0
5/10/2001,4,-5.7,61,360,15,0
5/10/2001,5,-5.3,57,360,12,0
5/10/2001,6,-5.3,57,360,14,0
5/10/2001,7,-4.9,55,360,17,0
5/10/2001,8,-5.3,57,360,21,0
5/10/2001,9,-4.6,55,360,16,0
5/10/2001,10,-0.3,39,360,1,0
5/10/2001,11,4.9,27,360,21,0
5/10/2001,12,8.8,22,360,16,0
5/10/2001,13,12.1,20,360,9,0
5/10/2001,14,14.6,18,360,7,0
5/10/2001,15,16.1,22,360,5,0
5/10/2001,16,16.1,22,360,4,0
5/10/2001,17,15.8,22,360,15,0
5/10/2001,18,14.3,22,360,12,0
5/10/2001,19,5.7,53,360,4,0
5/10/2001,20,1.4,71,360,0,0
5/10/2001,21,-2.1,82,360,0,0
5/10/2001,22,-3.1,82,360,0,0
5/10/2001,23,-3.5,82,360,1,0
6/10/2001,0,1.1,65,360,3,0
6/10/2001,1,0.4,67,360,10,0
6/10/2001,2,-0.3,69,360,1,0
6/10/2001,3,-0.3,69,360,4,0
6/10/2001,4,-2.1,76,360,1,0
6/10/2001,5,1.8,59,360,13,0
6/10/2001,6,1.4,61,360,9,0
6/10/2001,7,1.1,61,360,5,0
6/10/2001,8,1.4,61,360,11,0
6/10/2001,9,4.2,51,360,1,0
6/10/2001,10,8.1,39,360,19,0
6/10/2001,11,11.7,27,360,17,0
6/10/2001,12,15.4,16,360,20,0
6/10/2001,13,15.8,14,360,21,0
6/10/2001,14,13.5,16,360,20,0
6/10/2001,15,13.1,18,360,21,0
6/10/2001,16,13.5,20,360,16,0
6/10/2001,17,12.1,29,360,15,0
6/10/2001,18,9.5,39,360,26,0
6/10/2001,19,5.3,76,360,25,0
6/10/2001,20,4.9,75,360,25,0
6/10/2001,21,3.5,90,360,19,0.25
6/10/2001,22,3.9,84,360,14,0
6/10/2001,23,4.2,75,360,23,0
7/10/2001,0,4.2,76,360,20,0
7/10/2001,1,3.5,76,360,19,0
7/10/2001,2,3.5,75,360,9,0
7/10/2001,3,3.5,75,360,2,0
7/10/2001,4,3.2,84,360,7,0
7/10/2001,5,2.1,88,360,2,0
7/10/2001,6,-0.3,96,360,2,0
7/10/2001,7,-1,96,360,0,0
7/10/2001,8,-2.8,96,360,8,0
7/10/2001,9,-1.4,94,360,5,0
7/10/2001,10,3.2,73,360,2,0
7/10/2001,11,7.4,47,360,10,0
7/10/2001,12,9.9,39,360,9,0
7/10/2001,13,11.3,31,360,9,0
7/10/2001,14,12.1,29,360,12,0
7/10/2001,15,11,31,360,24,0
7/10/2001,16,10.6,33,360,15,0
7/10/2001,17,9.5,33,360,18,0
7/10/2001,18,8.8,33,360,21,0
7/10/2001,19,5.3,63,360,5,0
7/10/2001,20,4.2,67,360,0,0
7/10/2001,21,1.4,75,360,1,0
7/10/2001,22,3.9,59,360,19,0
7/10/2001,23,7.4,43,360,20,0
8/10/2001,0,6.7,45,360,24,0
8/10/2001,1,6.7,43,360,26,0
8/10/2001,2,6.7,43,360,27,0
8/10/2001,3,5.7,45,360,24,0
8/10/2001,4,2.8,57,360,19,0
8/10/2001,5,2.5,57,360,22,0
8/10/2001,6,1.1,63,360,12,0
8/10/2001,7,0.7,65,360,13,0
8/10/2001,8,0,67,360,0,0
8/10/2001,9,-0.3,75,360,0,0
8/10/2001,10,6.4,47,360,3,0
8/10/2001,11,7.1,43,360,1,0
8/10/2001,12,8.5,33,360,19,0
8/10/2001,13,8.5,35,360,12,0
8/10/2001,14,9.5,33,360,22,0
8/10/2001,15,9.2,27,360,30,0
8/10/2001,16,10.2,25,360,29,0
8/10/2001,17,9.9,29,360,28,0
8/10/2001,18,7.8,33,360,22,0
8/10/2001,19,6.7,37,360,25,0
8/10/2001,20,5.3,41,360,25,0
8/10/2001,21,5.3,41,360,27,0
8/10/2001,22,4.9,39,360,28,0
8/10/2001,23,5.3,35,360,24,0
9/10/2001,0,4.2,35,360,27,0
9/10/2001,1,2.1,45,360,15,0
9/10/2001,2,-0.7,55,360,0,0
9/10/2001,3,-3.5,67,360,0,0
9/10/2001,4,-3.5,71,360,2,0
9/10/2001,5,-2.8,73,360,0,0
9/10/2001,6,-2.8,75,360,9,0
9/10/2001,7,-0.3,65,360,10,0
9/10/2001,8,0.7,59,360,13,0
9/10/2001,9,-1,67,360,1,0
9/10/2001,10,2.1,53,360,12,0
9/10/2001,11,7.4,35,360,15,0
9/10/2001,12,8.8,27,360,19,0
9/10/2001,13,9.5,24,360,25,0
9/10/2001,14,8.1,27,360,25,0
9/10/2001,15,7.1,27,360,21,0
9/10/2001,16,8.5,25,360,27,0
9/10/2001,17,6.4,29,360,21,0
9/10/2001,18,5.7,33,360,27,0
9/10/2001,19,4.6,35,360,20,0
9/10/2001,20,3.5,39,360,15,0
9/10/2001,21,3.5,39,360,21,0
9/10/2001,22,3.9,37,360,25,0
9/10/2001,23,3.5,37,360,16,0
10/10/2001,0,2.8,39,360,12,0
10/10/2001,1,0.7,47,360,12,0
10/10/2001,2,-1.7,57,360,15,0
10/10/2001,3,-1.7,57,360,6,0
10/10/2001,4,-2,60,360,6,0
10/10/2001,5,-2.8,63,360,3,0
10/10/2001,6,-2.4,63,360,8,0
10/10/2001,7,-1,59,360,13,0
10/10/2001,8,0.4,55,360,1,0
10/10/2001,9,4.6,43,360,21,0
10/10/2001,10,6.4,39,360,23,0
10/10/2001,11,7.8,37,360,16,0
10/10/2001,12,7.4,37,360,32,0
10/10/2001,13,8.1,37,360,26,0
10/10/2001,14,9.9,35,360,10,0
10/10/2001,15,11.3,31,360,30,0
10/10/2001,16,9.9,33,360,29,0
10/10/2001,17,8.1,37,360,28,0
10/10/2001,18,7.4,37,360,24,0
10/10/2001,19,6.7,39,360,30,0
10/10/2001,20,6.7,37,360,20,0
10/10/2001,21,6,39,360,9,0
10/10/2001,22,6,39,360,24,0
10/10/2001,23,5.7,39,360,17,0
11/10/2001,0,5.7,41,360,30,0
11/10/2001,1,5.7,39,360,23,0
11/10/2001,2,5.3,39,360,12,0
11/10/2001,3,4.9,39,360,7,0
11/10/2001,4,-0.7,59,360,6,0
11/10/2001,5,-4.2,73,360,4,0
11/10/2001,6,-4.2,73,360,0,0
11/10/2001,7,-2.4,71,360,1,0
11/10/2001,8,-3.1,75,360,6,0
11/10/2001,9,-1.7,82,360,5,0
11/10/2001,10,3.9,57,360,15,0
11/10/2001,11,5.7,29,360,24,0
11/10/2001,12,5.3,27,360,31,0
11/10/2001,13,6,27,360,25,0
11/10/2001,14,6.4,25,360,28,0
11/10/2001,15,6.4,25,360,29,0
11/10/2001,16,7.1,25,360,29,0
11/10/2001,17,6.7,24,360,24,0
11/10/2001,18,4.6,27,360,17,0
11/10/2001,19,3.5,29,360,17,0
